date,month,pred_d,true_d,pred_m,true_m,pred_m_from_d
2023-01-21,1,452.49343889722917,372.2563436426117,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-22,1,452.4930197250303,371.766501718213,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-23,1,452.49302659932914,362.8702749140893,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-24,1,452.4930307743531,360.1769553264605,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-25,1,452.49303176966924,371.44007560137453,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-26,1,452.49303054359655,385.55993127147764,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-27,1,452.4930264016594,393.3134639175257,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-28,1,452.49234361618977,406.77965635738826,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-29,1,452.4923282141405,411.02522336769755,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-30,1,452.4923103146877,415.4329896907216,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-31,1,452.4918150177274,420.00295532646044,452.5002547887029,428.54842611683847,452.4926548430285
2023-02-01,2,536.9588742885956,480.819587628866,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-02,2,536.9591077017434,496.5448109965636,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-03,2,536.9599808525969,510.22226804123716,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-04,2,536.9602559099202,506.779587628866,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-05,2,536.9596616392265,501.9419931271478,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-06,2,536.9587636228756,518.7823367697595,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-07,2,536.9581322072634,522.7846048109966,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-08,2,536.9584794298312,526.8801374570447,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-09,2,536.9588377208399,539.0694158075602,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-10,2,536.9597402014724,539.7222680412372,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-11,2,536.9600163442257,536.372852233677,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-12,2,536.9593666442083,523.1576632302405,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-13,2,536.9583896948053,530.2295532646048,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-14,2,536.957704685344,529.3942268041237,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-15,2,536.9583162344802,543.5380068728523,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-16,2,536.9585398801858,542.6986254295533,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-17,2,536.9593723232391,540.5575945017183,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-18,2,536.9596703356087,537.581237113402,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-19,2,536.9589773536724,520.9233676975945,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-20,2,536.9579138117433,532.7436426116839,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-21,2,536.9571638121365,534.9779381443299,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-22,2,536.9578086346415,547.7227491408935,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-23,2,536.9577054844646,554.8879037800687,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-24,2,536.9577680195972,545.7723024054983,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-25,2,536.9577274600293,533.9520274914089,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-26,2,536.9566306202817,524.4593127147766,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-27,2,536.9551342997256,516.4588316151203,536.9687490638527,527.1825233186058,536.9583574580722
2023-02-28,2,536.9539696132674,522.1358075601374,536.9687490638527,527.1825233186058,536.9583574580722
2023-03-01,3,492.60359123670594,493.19736211031164,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-02,3,492.6039010247139,491.7142685851317,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-03,3,492.6034096817374,493.89616306954423,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-04,3,492.60333779317466,487.43597122302145,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-05,3,492.6022437774752,477.65647482014384,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-06,3,492.60072560270004,484.3805755395683,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-07,3,492.59941548990093,478.0950839328536,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-08,3,492.6002856071525,482.1986810551558,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-09,3,492.59982436322935,479.92757793764986,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-10,3,492.599273657137,477.31079136690636,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-11,3,492.5991031476224,476.1733812949639,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-12,3,492.59816962945234,469.45299760191836,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-13,3,492.59683275629845,471.11079136690637,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-14,3,492.595787766243,470.23729016786564,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-15,3,492.596332255157,467.70599520383684,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-16,3,492.5961235052771,476.6119904076738,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-17,3,492.5964073327498,482.1094724220623,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-18,3,492.59651216582944,477.7456834532373,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-19,3,492.5957406575926,475.7384892086329,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-20,3,492.59461400257067,475.125179856115,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-21,3,492.59366461917347,475.2143884892085,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-22,3,492.59356532079556,479.3179856115107,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-23,3,492.59334411333697,471.5456834532373,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-24,3,492.59396734923007,479.3179856115107,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-25,3,492.5942297831525,478.2697841726618,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-26,3,492.5942157761844,471.80959232613895,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-27,3,492.59294445665756,471.46019184652266,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-28,3,492.5921394847433,471.5456834532373,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-29,3,492.5916867697781,463.6878896882493,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-30,3,492.59181462233744,467.09268585131883,492.61609260451246,476.5007194244603,492.5969519187592
2023-03-31,3,492.59230573342717,454.43621103117493,492.61609260451246,476.5007194244603,492.5969519187592
2023-04-01,4,490.55183267572124,481.19915848527364,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-02,4,490.5517011272807,471.88779803646577,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-03,4,490.5500837301224,474.2356241234223,490.57534028378853,470.55708274894823,490.5522540489171
