date,month,pred_d,true_d,pred_m,true_m,pred_m_from_d
2024-02-23,2,586.9594445572412,714.7882428115017,586.95448302872,594.0450016525284,586.9789850720688
2024-02-24,2,586.9551023353097,698.9451757188499,586.95448302872,594.0450016525284,586.9789850720688
2024-02-25,2,586.9538317958037,662.8125239616614,586.95448302872,594.0450016525284,586.9789850720688
2024-02-26,2,586.9539199590911,664.2939297124601,586.95448302872,594.0450016525284,586.9789850720688
2024-02-27,2,586.9551484141043,688.686517571885,586.95448302872,594.0450016525284,586.9789850720688
2024-02-28,2,586.950924256022,703.959872204473,586.95448302872,594.0450016525284,586.9789850720688
2024-02-29,2,586.9418191595819,667.7137380191695,586.95448302872,594.0450016525284,586.9789850720688
2024-03-01,3,599.7451717917559,636.5727800829876,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-02,3,599.7436197112343,606.7261687413554,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-03,3,599.7413933461623,615.0785892116182,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-04,3,599.7386908403948,645.0366804979253,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-05,3,599.737076396566,660.4054771784232,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-06,3,599.7323123384357,646.484204702628,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-07,3,599.7253812340613,645.5932226832642,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-08,3,599.7200765062864,637.9088243430152,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-09,3,599.7179125319266,647.1522268326418,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-10,3,599.7157419815262,629.1113416320885,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-11,3,599.7125195991921,617.4179529737206,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-12,3,599.7092461791276,591.8032918395575,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-13,3,599.7051477190702,612.4065006915629,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-14,3,599.6990709390825,618.3089349930843,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-15,3,599.6961557453241,610.5130567081604,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-16,3,599.6941693813468,599.2647302904564,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-17,3,599.6922709798698,595.2557399723374,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-18,3,599.6895122799756,604.2761825726141,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-19,3,599.6848946199763,586.1238174273859,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-20,3,599.6777565724125,599.4876901798063,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-21,3,599.6720777579467,571.3115629322268,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-22,3,599.6685743164322,564.9640663900415,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-23,3,599.6664470029931,592.5827939142462,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-24,3,599.6640102167227,600.7122544951591,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-25,3,599.6599180969113,608.7310926694329,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-26,3,599.6539615431022,609.3991147994468,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-27,3,599.6477499364947,572.5369847856155,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-28,3,599.642900839912,576.2115352697095,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-29,3,599.6401639330937,569.4189764868603,599.7649082946295,606.7587551867219,599.6924765218512
2024-03-30,3,599.6386850791346,568.4165145228216,599.7649082946295,606.7587551867219,599.6924765218512
