month,source,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
6,real,1.087360158410608,1.088571582293101,1.090273503435198,1.0898921401402075,1.0915558008835782,1.1014060726228647,1.0869909730046254,1.0399081184010683,0.9661112248181246,0.8848701749721966,0.8258132251637582,0.800677448675384,0.7865677368486997,0.7965700989755741,0.8210824954461831,0.8769298684017994,0.933352956820699,1.0034002374877573,1.0750287196922768,1.1193840724841744,1.1238964495549788,1.1142099012562732,1.1039440457269232,1.092202994483946
6,model,1.027021242005913,1.0350000472184755,1.0403453629666612,1.039476362768829,1.0431185402199983,1.048302579279637,1.0316963043849257,1.01122682046459,0.9906527199478983,0.9915637665192333,0.9852055105748997,0.9715026644862396,0.95222863542707,0.9534547826663443,0.951304735723586,0.9533059508960281,0.9518768927526847,0.9394824065365229,0.9647773420607393,1.0189070351687601,1.0268889471196323,1.0239918779911654,1.0275446133402828,1.0211248594798839
7,real,1.0794309038045684,1.0826791334869434,1.085123475710351,1.0868081962675926,1.0911363201474318,1.0956124820111943,1.0810787394826151,1.0415277742019604,0.9791050809813645,0.9136859232460632,0.8606116416696282,0.8398195233932007,0.8240401468438554,0.8189777266455194,0.839765173771224,0.8825214544813483,0.9337187737629741,0.9993954594113414,1.0607704212592073,1.08562160647557,1.080667757004131,1.0768718487895037,1.080956854488975,1.080073582663437
7,model,1.0241975362034992,1.0188891333259804,1.0200119689027454,1.018925575964153,1.0209451453479146,1.027141826180378,1.017223041552271,0.9979608484747645,0.9863620456187697,0.98761542373302,0.9814130735289693,0.9786780796041036,0.9799935824723648,0.9741223942601775,0.954835174505771,0.965292156564626,0.9722993728489832,0.9740935561933783,0.9889374762773504,1.0108962936981998,1.0167350587377721,1.0328055500363342,1.0309479277166707,1.019677758251804
8,real,1.094888167633959,1.0955629931121258,1.0970011504649315,1.0967581816730276,1.102636794258718,1.1068101131554868,1.095345041822327,1.0336885612440139,0.9521414083573749,0.8668335093818017,0.8021045629536397,0.787150168961954,0.775109546259857,0.7839230227969349,0.8182117503754045,0.8775556342167363,0.9462218506347273,1.0323135280251814,1.1015208576458226,1.1190761652302281,1.1133155586503742,1.1075080100696846,1.1013135464508934,1.093009876624795
8,model,1.0116638268310307,1.0082303762021685,1.010929272362891,1.0102105659541083,1.0058356734002796,1.0155014438536314,1.0181222239800722,0.9978606307800015,0.9874313519435748,0.9865194295531658,0.9782945407008709,0.9696910642251669,0.9677531767183998,0.9681927519340568,0.9663020623384899,0.9714585999283142,0.9785953456880663,0.982737983071623,0.9995021106252018,1.0367415489588505,1.0464972502459333,1.0435830357986409,1.0238392679591573,1.014506466946305
9,real,1.0668999762886295,1.0682557572484361,1.0694002051392628,1.072422258208829,1.0723871747909408,1.0744597949824581,1.0808953724088506,1.0407591317044615,0.970647283209019,0.901158330100089,0.8418962647975866,0.8264137844587125,0.8136478920332912,0.8270760789190672,0.8591414846503651,0.9169800799480794,0.9924082268929542,1.0683985148426924,1.101326823623964,1.0888735025360998,1.0776531876404305,1.0703676356742955,1.0568988636780356,1.0416323762234483
9,model,1.0169551898249807,1.0140260465898705,1.0133772367502834,1.0123901107850548,1.0094925707931517,1.013760702631253,1.0216041648178178,1.0130784175703462,0.9880239914281113,0.9755260525913779,0.9669673209274227,0.9592928518406644,0.953976443292848,0.9572364462175191,0.9623246475363408,0.972202400130422,0.9818741321073224,0.9849295220543158,1.0181318989831858,1.0396441774497063,1.0443244263381073,1.0345121568923197,1.0259436924984695,1.0204053999491105
10,real,1.074328821787348,1.0713107316158395,1.0705473859833246,1.070381816142802,1.0714021949703822,1.0729565046997203,1.0768590225563046,1.0366440068198974,0.9319326311072279,0.8385777390258715,0.777635499236236,0.7662198322427428,0.7695655866785949,0.7930345854256572,0.8286034586111375,0.8946223358173149,1.01071506382941,1.120524596206448,1.1434685239559448,1.130896218532026,1.1243006473149666,1.1181109349130436,1.108957596406361,1.0984042661214002
10,model,1.0237841713815703,1.0201314034585212,1.0196943981539481,1.0176925888545498,1.015419177243555,1.0141178408528417,1.0265250090882243,1.0329302897858372,1.0096509217452974,0.982253379774002,0.9706324842406668,0.9514563291572566,0.931176710373842,0.9286988295373733,0.928111855831385,0.9361042883732861,0.9489133452254017,0.9866566743478552,1.0402316543049663,1.0533033529260922,1.0509303174804951,1.043067698915285,1.039125357421699,1.0293919215260492
11,real,1.0548353832041615,1.0551740135336092,1.0544971200023476,1.0561577964118845,1.0606849891042773,1.0679390596978642,1.073582711299749,1.0695617094129906,0.9930708056830407,0.8998203748629335,0.8344850838107768,0.8077275162099459,0.8006194551792223,0.8190930588424874,0.8615312047312612,0.9347128715319293,1.0356154592906293,1.0999004644192805,1.0912648032262422,1.0809474869563827,1.0765946918137579,1.0675223504223343,1.0594752523119166,1.0451863380409752
11,model,1.0201355712210995,1.0197643507112908,1.0190007797293152,1.020465350313833,1.0225742006640135,1.025283873311724,1.0296487507712266,1.040596466423382,1.0322530608297413,0.983280829541597,0.9554704818241627,0.9362950233635392,0.9265536948498272,0.919710932977379,0.9185118871840623,0.9263102430339891,0.9528379397764832,1.0209158623966517,1.043535060463378,1.042493227314967,1.0408603511161205,1.0395052508052525,1.0343567752886915,1.0296400360882727
12,real,1.0474366799340684,1.044071544406946,1.0396524118571395,1.032914012690899,1.0309013849090534,1.0348311343811265,1.0421771338963797,1.0564230271885844,1.0145239876617824,0.9051932547548773,0.8395137366251789,0.8118268847766127,0.8056183292838565,0.8238997083466204,0.8644940978813596,0.924114000285359,1.0448108802452938,1.1220011529969658,1.1156555452106178,1.1013816252177395,1.091256878530619,1.0819549409418432,1.0703655259642795,1.0549821220127973
12,model,1.0398867976635628,1.0386358908344036,1.0341722135229943,1.028097572267932,1.0220608291608186,1.0209992247468729,1.0293211809257503,1.045453544729361,1.05500457285665,1.0084656415632687,0.9775567664478819,0.9331821549117588,0.9045180972952445,0.8918917378185599,0.8901571744901547,0.88325849784222,0.929561414544761,1.010200712911218,1.0174953331542613,1.0323942935624069,1.0464301792831125,1.0538005204609135,1.0588594903680508,1.048596158637843
